# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-S9-A6TS	-0.879000	0.320000
TCGA-QH-A6XA	-0.226000	0.607000
TCGA-TQ-A7RM	-1.393000	0.935000
TCGA-DU-7008	-0.636000	2.048000
TCGA-P5-A5EU	-1.002000	1.047000
TCGA-HT-7476	-0.485000	0.759000
TCGA-FG-A711	-0.837000	0.706000
TCGA-S9-A7QX	-0.507000	0.569000
TCGA-VM-A8CH	-0.100000	0.778000
TCGA-DB-A4XD	-0.256000	0.575000
TCGA-HT-A74J	-0.264000	0.880000
TCGA-E1-A7YV	-0.906000	1.096000
TCGA-HT-7477	-0.961000	2.738000
