Sample Names	MutationType	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-CS-4938	0:homdel:0-100kb	0.007490673095718457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925093269042815	0.0	0.0
TCGA-CS-4938	0:homdel:100kb-1Mb	0.13931300004769462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8606869999523055	0.0	0.0
TCGA-CS-4938	0:homdel:>1Mb	0.41274552292964084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.587254477070359	0.0	0.0
TCGA-CS-4938	1:LOH:0-100kb	0.02188501760330756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9781149823966924	0.0	0.0
TCGA-CS-4938	1:LOH:100kb-1Mb	0.14066764556067474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8593323544393253	0.0	0.0
TCGA-CS-4938	1:LOH:1Mb-10Mb	0.36074584230801926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6392541576919809	0.0	0.0
TCGA-CS-4938	1:LOH:10Mb-40Mb	0.6989862967190562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30101370328094385	0.0	0.0
TCGA-CS-4938	1:LOH:>40Mb	0.9709300524215676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029069947578432433	0.0	0.0
TCGA-CS-4938	2:LOH:0-100kb	0.9999671939349529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.280606504717512e-05	0.0	0.0
TCGA-CS-4938	2:LOH:100kb-1Mb	0.9296853517043673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07031464829563278	0.0	0.0
